chn 0,  Pts = 0,  LumPixSum = 188248729,  LumPixAverage=90!     

chn 0,  Pts = 0,  LumPixSum = 190197384,  LumPixAverage=91!     

chn 0,  Pts = 0,  LumPixSum = 191688665,  LumPixAverage=91!     

chn 0,  Pts = 0,  LumPixSum = 194698670,  LumPixAverage=93!     

chn 0,  Pts = 0,  LumPixSum = 197360682,  LumPixAverage=94!     

chn 0,  Pts = 0,  LumPixSum = 199396803,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 199674862,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 202553845,  LumPixAverage=96!     

chn 0,  Pts = 0,  LumPixSum = 205668264,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 206104826,  LumPixAverage=98!     

